title,price,ratings,rating_and_reviews_count,warranty
"Wings Nuvobook S1 Aluminium Alloy Metal Body Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows 11 Home) WL-Nuvobook S1-GRN Thin and Light Laptop  (15.6 Inch, Green, 1.60 Kg)","₹26,990",4.2,282 Ratings & 52 Reviews,1 Year Onsite Warranty
"ASUS ROG Strix G16 (2023), Intel Core i5 13th Gen 13450HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) G614JJ-N3088WS Gaming Laptop  (16 Inch, Gray, 2.50 Kg, With MS Office)","₹1,09,000",4.5,48 Ratings & 3 Reviews,1 Year Onsite Warranty
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",4.2,"4,214 Ratings & 391 Reviews",1 Year Warranty
"HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹29,990",4.1,"3,144 Ratings & 259 Reviews",1 Year Onsite Warranty
"HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) fq1089au Thin and Light Laptop  (14 Inch, Natural Silver, 1.46 Kg kg, With MS Office)","₹35,899",4.3,"3,058 Ratings & 367 Reviews",1 Year onsite warranty
"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 250 G8 Thin and Light Laptop  (15.6 inch, Dark Ash, 2.0 Kg)","₹33,425",4.1,462 Ratings & 38 Reviews,1Year Onsite Warranty
"HP 255 G9 840T7PA Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) 255 G8 Thin and Light Laptop  (15.6 Inch, Jet Black, 2.5 Kg)","₹19,860",3.9,555 Ratings & 45 Reviews,1 Year Onsite Warranty
"Wings Nuvobook V1 Aluminium Alloy Metal Body Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) WL-Nuvobook V1-GRN Thin and Light Laptop  (15.6 Inch, Green, 1.60 Kg)","₹31,990",4.2,516 Ratings & 121 Reviews,1 Year Onsite Warranty
"DELL Inspiron Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Notebook  (15.6 Inch, Platinum Silver, 1.8 Kg, With MS Office)","₹38,490",3.7,9 Ratings & 0 Reviews,1 Year Onsite Warranty
"HP 2023 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹33,490",4.2,"3,368 Ratings & 308 Reviews",1 Year Onsite Warranty
"Wings Nuvobook Pro Aluminium Alloy Metal Body Intel Core i7 11th Gen 1165G7 - (16 GB/512 GB SSD/Windows 11 Home) WL-Nuvobook Pro-BLU Thin and Light Laptop  (14 Inch, Blue, 1.48 Kg)","₹46,990",4.1,54 Ratings & 13 Reviews,1 Year Onsite Warranty
"Wings Nuvobook S1 Aluminium Alloy Metal Body Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows 11 Home) WL-Nuvobook S1-BLU Thin and Light Laptop  (15.6 Inch, Blue, 1.60 Kg)","₹26,990",4.2,282 Ratings & 52 Reviews,1 Year Onsite Warranty
"ASUS Chromebook Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-EK0257 Chromebook  (14 Inch, Transparent Silver, 1.47 Kg)","₹14,990",3.7,519 Ratings & 61 Reviews,1 Year Onsite Warranty
"HP Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15s- ey2001au Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹49,990",4.2,315 Ratings & 27 Reviews,1 Year Onsite Warranty
"Infinix X2 Slim Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) XL23 Thin and Light Laptop  (14 inch, Blue, 1.24 kg)","₹33,990",4.2,681 Ratings & 100 Reviews,1 year Onsite Warranty
"DELL Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop  (38 cm, Carbon Black, 1.65 Kg, With MS Office)","₹37,450",4.2,698 Ratings & 83 Reviews,1 Year Onsite Hardware Service
"Wings Nuvobook V1 Aluminium Alloy Metal Body Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) WL-Nuvobook V1-SLV Thin and Light Laptop  (15.6 Inch, Silver, 1.60 Kg)","₹31,990",4.2,516 Ratings & 121 Reviews,1 Year Onsite Warranty
"HP Victus Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15-fb0106AX Gaming Laptop  (15.3 Inch, Silver, 2.37 kg, With MS Office)","₹65,990",4.3,310 Ratings & 30 Reviews,1 Year Onsite Warranty
"Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 Kg, With MS Office)","₹43,990",4.2,"4,162 Ratings & 305 Reviews",1 Year Onsite Warranty + 1 Year ADP
"ASUS Vivobook 15 Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) X515EA-EJ542WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 Kg, With MS Office)","₹43,990",4.9,"(2,354)",1 Year Onsite Warranty
"Wings Nuvobook Pro Aluminium Alloy Metal Body Intel Core i7 11th Gen 1165G7 - (16 GB/512 GB SSD/Windows 11 Home) WL-Nuvobook Pro-GRY Thin and Light Laptop  (14 Inch, Grey, 1.48 Kg)","₹46,990",4.1,54 Ratings & 13 Reviews,1 Year Onsite Warranty
"Wings Nuvobook S1 Aluminium Alloy Metal Body Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows 11 Home) WL-Nuvobook S1-SLV Thin and Light Laptop  (15.6 Inch, Silver, 1.60 Kg)","₹26,990",4.2,282 Ratings & 52 Reviews,1 Year Onsite Warranty
"MSI Modern 14 Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin and Light Laptop  (14 Inch, Urban Silver, 1.4 Kg)","₹47,990",4.3,579 Ratings & 82 Reviews,1 Year Carry-in Warranty
"Acer Aspire 3 Ryzen 3 Quad Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) A315-24P-R7HM Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.78 Kg)","₹26,990",4.2,350 Ratings & 53 Reviews,1 Year Onsite Warranty
